Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
AVLTreeSearch,Reversed,1000,1,0,40
AVLTreeInsert,AlmostSorted,1000,9553,2156,19602
AVLTreeRemove,AlmostSorted,1000,7784,2153,18448
AVLTreeSearch,AlmostSorted,1000,1,0,39
AVLTreeInsert,Random,1000,8064,1082,19296
AVLTreeRemove,Random,1000,7945,1255,19633
AVLTreeSearch,Random,1000,1,0,42
FingerTreeInsert,Sorted,1000,8977,1000,566
FingerTreeRemove,Sorted,1000,6806,1000,459
FingerTreeSearch,Sorted,1000,1,0,1
FingerTreeInsert,Reversed,1000,8987,0,448
FingerTreeRemove,Reversed,1000,6806,1000,456
FingerTreeSearch,Reversed,1000,1,0,1
FingerTreeInsert,AlmostSorted,1000,9179,0,463
FingerTreeRemove,AlmostSorted,1000,7784,1656,514
FingerTreeSearch,AlmostSorted,1000,1,0,1
FingerTreeInsert,Random,1000,8448,0,466
FingerTreeRemove,Random,1000,7945,995,506
FingerTreeSearch,Random,1000,1,0,3
BinarySearchTreeInsert,Sorted,1000,499500,1000,4501
BinarySearchTreeRemove,Sorted,1000,1000,1000,182
BinarySearchTreeSearch,Sorted,1000,0,0,0
BinarySearchTreeInsert,Reversed,1000,499500,1000,4492
BinarySearchTreeRemove,Reversed,1000,1000,1000,193
BinarySearchTreeSearch,Reversed,1000,0,0,0
BinarySearchTreeInsert,AlmostSorted,1000,20031,1000,283
BinarySearchTreeRemove,AlmostSorted,1000,7911,1606,228
BinarySearchTreeSearch,AlmostSorted,1000,0,0,0
BinarySearchTreeInsert,Random,1000,10069,1000,265
BinarySearchTreeRemove,Random,1000,9433,1565,258
BinarySearchTreeSearch,Random,1000,0,0,0
LinearSearch,Sorted,10000,10000,0,47
LinearSearch,Reversed,10000,10000,0,46
LinearSearch,AlmostSorted,10000,10000,0,45
LinearSearch,Random,10000,10000,0,46
LinearSearchInsert,Sorted,10000,0,1,49
LinearSearchRemove,Sorted,10000,0,1,64
LinearSearchInsert,Reversed,10000,0,1,47
LinearSearchRemove,Reversed,10000,0,1,64
LinearSearchInsert,AlmostSorted,10000,0,1,52
LinearSearchRemove,AlmostSorted,10000,0,1,63
LinearSearchInsert,Random,10000,0,1,52
LinearSearchRemove,Random,10000,0,1,63
BinarySearch,Sorted,10000,14,0,573
AVLTreeInsert,Sorted,10000,123617,19986,165443
AVLTreeRemove,Sorted,10000,92566,14988,214624
AVLTreeSearch,Sorted,10000,1,0,22
AVLTreeInsert,Reversed,10000,123617,19986,267781
AVLTreeRemove,Reversed,10000,92566,14988,252889
AVLTreeSearch,Reversed,10000,1,0,22
AVLTreeInsert,AlmostSorted,10000,132353,21247,270683
AVLTreeRemove,AlmostSorted,10000,108897,21464,249837
AVLTreeSearch,AlmostSorted,10000,1,0,20
AVLTreeInsert,Random,10000,114073,10736,244785
AVLTreeRemove,Random,10000,112856,12119,260893
AVLTreeSearch,Random,10000,1,0,21
FingerTreeInsert,Sorted,10000,123617,10000,4551
FingerTreeRemove,Sorted,10000,92566,10000,3710
FingerTreeSearch,Sorted,10000,1,0,1
FingerTreeInsert,Reversed,10000,123631,0,3290
FingerTreeRemove,Reversed,10000,92566,10000,3754
FingerTreeSearch,Reversed,10000,1,0,1
FingerTreeInsert,AlmostSorted,10000,125512,0,3872
FingerTreeRemove,AlmostSorted,10000,108897,16312,4147
FingerTreeSearch,AlmostSorted,10000,1,0,1
FingerTreeInsert,Random,10000,117416,0,4396
FingerTreeRemove,Random,10000,112856,9665,4331
FingerTreeSearch,Random,10000,1,0,2
BinarySearchTreeInsert,Sorted,10000,49995000,10000,526228
BinarySearchTreeRemove,Sorted,10000,10000,10000,1689
BinarySearchTreeSearch,Sorted,10000,0,0,0
BinarySearchTreeInsert,Reversed,10000,49995000,10000,515231
BinarySearchTreeRemove,Reversed,10000,10000,10000,1825
BinarySearchTreeSearch,Reversed,10000,0,0,0
BinarySearchTreeInsert,AlmostSorted,10000,718667,10000,8171
BinarySearchTreeRemove,AlmostSorted,10000,157573,15752,3865
BinarySearchTreeSearch,AlmostSorted,10000,0,0,0
